cluster	gene	avg_logFC	p_val	p_val_adj	prop_in_cluster	prop_out_cluster
0	ENSG00000126353.3	0.738567168398571	1.52218331044336e-172	2.85500701706756e-168	0.878	0.297
0	ENSG00000133872.12	0.634569289938121	3.60172461385262e-169	6.75539468574198e-165	0.996	0.916
0	ENSG00000186854.9	0.690723705149369	3.74326897604442e-167	7.02087529146891e-163	0.838	0.265
0	ENSG00000145425.8	0.471328270201019	2.95698993477545e-166	5.54613032166483e-162	1	1
0	ENSG00000138795.8	0.682142657895435	6.02930538834599e-157	1.13085651863817e-152	0.81	0.252
0	ENSG00000081059.18	0.7521773889069	3.4578269892788e-153	6.48550030109131e-149	0.953	0.463
0	ENSG00000182899.13	0.391804227408061	7.02252575405293e-151	1.31714493043017e-146	1	1
0	ENSG00000156482.9	0.416454281048105	8.77702834909422e-151	1.64621943715611e-146	1	1
0	ENSG00000110700.5	0.382816795370249	2.19321878292177e-148	4.11360114924807e-144	1	1
0	ENSG00000144713.11	0.443882815410949	3.12072747622193e-147	5.85323645440185e-143	1	1
0	ENSG00000134419.14	0.421173973347762	1.88342911864195e-144	3.53255965492485e-140	1	1
0	ENSG00000118181.9	0.479202879204049	6.70915670889281e-144	1.25836943231994e-139	1	1
0	ENSG00000109475.15	0.384712953953016	1.53274816669033e-142	2.87482246144437e-138	1	1
0	ENSG00000163682.14	0.421528922420545	1.55395528297691e-141	2.91459852875149e-137	1	1
0	ENSG00000105193.7	0.419020184730555	1.18399085166837e-139	2.22069324138919e-135	1	1
0	ENSG00000122026.9	0.403467013938538	1.71089114484616e-139	3.20894743127346e-135	1	1
0	ENSG00000177954.10	0.485865865055521	5.66233478103251e-139	1.06202751153046e-134	1	1
0	ENSG00000142676.11	0.379584283309209	1.36824496918928e-136	2.56628026421141e-132	1	1
0	ENSG00000167526.12	0.405594905539443	1.97378679579472e-136	3.70203451419257e-132	1	1
0	ENSG00000111716.11	0.650179248417478	1.44804854328848e-133	2.71595984779188e-129	0.999	0.756
0	ENSG00000164587.10	0.380686390396812	1.57382796501862e-132	2.95187173118893e-128	1	1
0	ENSG00000112306.7	0.470457389799255	2.02669073553357e-132	3.80126114356677e-128	1	1
0	ENSG00000108298.8	0.376215137195131	3.32972428683359e-132	6.24523087238508e-128	1	1
